Product_Name,Rating,Price,Brand,Product_URL
SAHAL Men Solid Round Neck Cotton Blend Pink T-Shirt,2.8,195,SAHAL,https://www.flipkart.com/arrow-sport-checkered-men-polo-neck-blue-t-shirt/p/itm77835b0260459?pid=TSHHH5NT3HHYTREQ&lid=LSTTSHHH5NT3HHYTREQIOOR1N&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_5_180&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=search-autosuggest&iid=3de10e5a-7053-4edd-a148-74012c5320d0.TSHHH5NT3HHYTREQ.SEARCH&ppt=sp&ppn=sp&ssid=yuhzs82c8g0000001788787562891&qH=04ad3bdbbe706182&ov_redirect=true
VeBNoR Men Solid Polo Neck Polyester Black T-Shirt,4.4,294,VeBNoR,https://www.flipkart.com/arrow-sport-checkered-men-polo-neck-blue-t-shirt/p/itm77835b0260459?pid=TSHHH5NT3HHYTREQ&lid=LSTTSHHH5NT3HHYTREQIOOR1N&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_5_180&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=search-autosuggest&iid=3de10e5a-7053-4edd-a148-74012c5320d0.TSHHH5NT3HHYTREQ.SEARCH&ppt=sp&ppn=sp&ssid=yuhzs82c8g0000001788787562891&qH=04ad3bdbbe706182&ov_redirect=true
SAHUCRATION Women Graphic Print Round Neck Cotton Blend Orange T-...more,4.2,295,SAHUCRATION,https://www.flipkart.com/arrow-sport-checkered-men-polo-neck-blue-t-shirt/p/itm77835b0260459?pid=TSHHH5NT3HHYTREQ&lid=LSTTSHHH5NT3HHYTREQIOOR1N&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_5_180&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=search-autosuggest&iid=3de10e5a-7053-4edd-a148-74012c5320d0.TSHHH5NT3HHYTREQ.SEARCH&ppt=sp&ppn=sp&ssid=yuhzs82c8g0000001788787562891&qH=04ad3bdbbe706182&ov_redirect=true
3BROS Men Solid Polo Neck Cotton Blend Blue T-Shirt,4.1,376,3BROS,https://www.flipkart.com/arrow-sport-checkered-men-polo-neck-blue-t-shirt/p/itm77835b0260459?pid=TSHHH5NT3HHYTREQ&lid=LSTTSHHH5NT3HHYTREQIOOR1N&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_5_180&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=search-autosuggest&iid=3de10e5a-7053-4edd-a148-74012c5320d0.TSHHH5NT3HHYTREQ.SEARCH&ppt=sp&ppn=sp&ssid=yuhzs82c8g0000001788787562891&qH=04ad3bdbbe706182&ov_redirect=true
VeBNoR Men Solid Polo Neck Polyester Grey T-Shirt,4.1,286,VeBNoR,https://www.flipkart.com/arrow-sport-checkered-men-polo-neck-blue-t-shirt/p/itm77835b0260459?pid=TSHHH5NT3HHYTREQ&lid=LSTTSHHH5NT3HHYTREQIOOR1N&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_5_180&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=search-autosuggest&iid=3de10e5a-7053-4edd-a148-74012c5320d0.TSHHH5NT3HHYTREQ.SEARCH&ppt=sp&ppn=sp&ssid=yuhzs82c8g0000001788787562891&qH=04ad3bdbbe706182&ov_redirect=true
Pepe Jeans Men Self Design Polo Neck Polycotton Black T-Shirt,4.4,599,Pepe Jeans,https://www.flipkart.com/arrow-sport-checkered-men-polo-neck-blue-t-shirt/p/itm77835b0260459?pid=TSHHH5NT3HHYTREQ&lid=LSTTSHHH5NT3HHYTREQIOOR1N&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_5_180&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=search-autosuggest&iid=3de10e5a-7053-4edd-a148-74012c5320d0.TSHHH5NT3HHYTREQ.SEARCH&ppt=sp&ppn=sp&ssid=yuhzs82c8g0000001788787562891&qH=04ad3bdbbe706182&ov_redirect=true
KKCTEX Men Printed Round Neck Pure Cotton Black T-Shirt,3.7,200,KKCTEX,https://www.flipkart.com/arrow-sport-checkered-men-polo-neck-blue-t-shirt/p/itm77835b0260459?pid=TSHHH5NT3HHYTREQ&lid=LSTTSHHH5NT3HHYTREQIOOR1N&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_5_180&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=search-autosuggest&iid=3de10e5a-7053-4edd-a148-74012c5320d0.TSHHH5NT3HHYTREQ.SEARCH&ppt=sp&ppn=sp&ssid=yuhzs82c8g0000001788787562891&qH=04ad3bdbbe706182&ov_redirect=true
LOUIS PHILIPPE Men Solid Polo Neck Pure Cotton Purple T-Shirt,4.3,824,LOUIS PHILIPPE,https://www.flipkart.com/arrow-sport-checkered-men-polo-neck-blue-t-shirt/p/itm77835b0260459?pid=TSHHH5NT3HHYTREQ&lid=LSTTSHHH5NT3HHYTREQIOOR1N&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_5_180&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=search-autosuggest&iid=3de10e5a-7053-4edd-a148-74012c5320d0.TSHHH5NT3HHYTREQ.SEARCH&ppt=sp&ppn=sp&ssid=yuhzs82c8g0000001788787562891&qH=04ad3bdbbe706182&ov_redirect=true
UNIBERRY Men Solid Polo Neck Cotton Blend Maroon T-Shirt,4.2,413,UNIBERRY,https://www.flipkart.com/arrow-sport-checkered-men-polo-neck-blue-t-shirt/p/itm77835b0260459?pid=TSHHH5NT3HHYTREQ&lid=LSTTSHHH5NT3HHYTREQIOOR1N&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_5_180&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=search-autosuggest&iid=3de10e5a-7053-4edd-a148-74012c5320d0.TSHHH5NT3HHYTREQ.SEARCH&ppt=sp&ppn=sp&ssid=yuhzs82c8g0000001788787562891&qH=04ad3bdbbe706182&ov_redirect=true
"CHHOTE NAWAB Pack of 3 Women Animal Print, Solid, Graphic Print R...more",4,386,CHHOTE NAWAB,https://www.flipkart.com/arrow-sport-checkered-men-polo-neck-blue-t-shirt/p/itm77835b0260459?pid=TSHHH5NT3HHYTREQ&lid=LSTTSHHH5NT3HHYTREQIOOR1N&marketplace=FLIPKART&q=t+shirts&store=clo%2Fash%2Fank&srno=s_5_180&otracker=AS_Query_HistoryAutoSuggest_1_1_na_na_na&otracker1=AS_Query_HistoryAutoSuggest_1_1_na_na_na&fm=search-autosuggest&iid=3de10e5a-7053-4edd-a148-74012c5320d0.TSHHH5NT3HHYTREQ.SEARCH&ppt=sp&ppn=sp&ssid=yuhzs82c8g0000001788787562891&qH=04ad3bdbbe706182&ov_redirect=true
